,links,titulos
0,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/08/maia-defende-a-diminuicao-do-tamanho-do-governo-federal.htm,Maia defende diminuição do tamanho do governo federal
1,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/08/ciro-gomes-descarta-fazer-alianca-com-quadrilha-do-pmdb.htm,"Ciro Gomes descarta fazer aliança com ""quadrilha do PMDB"""
2,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/08/marun-diz-que-quem-quiser-apoio-do-mdb-precisa-defender-o-governo.htm,Marun diz que quem quiser apoio do MDB precisa defender o governo
3,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/08/uol-transmite-ao-vivo-encontro-de-11-presidenciaveis-com-prefeitos.htm,UOL transmite ao vivo encontro de 11 presidenciáveis com prefeitos
4,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000912540&t=temer-e-fhc-falam-sobre-candidatura-unica-das-forcas-governistas,"Temer e FHC falam sobre candidatura única ""das forças governistas"""
5,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/reuters/2018/05/07/temer-diz-que-falou-com-fhc-sobre-candidatura-unica-de-forcas-governistas.htm,"Temer diz que falou com FHC sobre candidatura única ""de forças governistas"""
6,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000912521&t=dias-e-rocha-negociam-alianca-e-ja-admitem-coalizao-mais-ampla,Dias e Rocha negociam aliança e já admitem coalizão mais ampla
7,https://noticias.uol.com.br/confere/ultimas-noticias/2018/05/07/uol-confere-sabatina-alvaro-dias.htm,"Em sabatina, Dias erra ao falar de campanha barata e acerta sobre pobreza"
8,https://www3.uol.com.br/uolmais/2018/05/07/alvaro-dias-diz-que-acabaria-com-reeleicao-veja-integra-da-sabatina.htm,Alvaro Dias diz que acabaria com reeleição; veja íntegra da sabatina
9,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000912440&t=a-cinco-meses-das-eleicoes-camara-e-senado-trabalham-em-ritmo-lento,"A cinco meses das eleições, Câmara e Senado trabalham em ritmo lento"
10,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/06/seguranca-vira-demanda-dos-ruralistas-na-eleicao.htm," Em troca de apoio, agronegócio cobra candidatos por segurança no campo "
11,https://economia.uol.com.br/noticias/estadao-conteudo/2018/05/06/sem-ajuste-o-brasil-vai-a-bancarrota.htm,Estadão Conteúdo - Política
12,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/06/uol-folha-e-sbt-iniciam-sabatinas-com-presidenciaveis-alvaro-dias-e-o-1.htm," 'Sem ajuste, o Brasil vai à bancarrota' "
13,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/06/ciro-muda-de-estrategica-e-investe-na-aproximacao-com-o-pib-e-o-mercado.htm,Estadão Conteúdo
14,https://www1.folha.uol.com.br/poder/2018/05/bolsonaro-aposta-em-outras-legendas-para-garantir-palanque-nos-estados.shtml," UOL, Folha e SBT iniciam sabatinas com presidenciáveis nesta segunda (7) "
15,https://www1.folha.uol.com.br/poder/2018/05/eleitores-de-alckmin-divergem-sobre-fama-de-picole-de-chucu-e-alianca-com-mdb.shtml,do UOL
16,https://www1.folha.uol.com.br/poder/2018/05/coligacao-do-pt-com-ciro-esta-100-descartada-diz-luiz-marinho.shtml, Ciro muda de estratégia e investe na aproximação com o PIB e o mercado 
17,https://www1.folha.uol.com.br/poder/2018/05/cla-sarney-tenta-retomar-poder-e-diz-que-desgaste-no-maranhao-diminuiu.shtml,Estadão Conteúdo - Política
18,https://www1.folha.uol.com.br/poder/2018/05/ativistas-do-ocupe-estelita-disputam-eleicao-em-pernambuco.shtml, Bolsonaro aposta em outras legendas para garantir palanque nos estados 
19,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000912309&t=temer-admite-apoio-a-alckmin-ou-outro-candidato-de-centro,Folha.com - Brasil
20,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/bbc/2018/05/05/o-pt-nao-vai-tirar-o-lula-nem-oferecer-outro-candidato-diz-dilma.htm, Eleitores de Alckmin divergem sobre fama de Picolé de Chucu e aliança com MDB 
21,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/05/para-gilmar-mendes-j-barbosa-tera-dificuldade-de-dialogar-com-politicos.htm,Folha.com - Brasil
22,https://www1.folha.uol.com.br/poder/2018/05/alckmin-e-temer-ensaiam-aproximacao-e-irritam-dem.shtml," Coligação do PT com Ciro está 100% descartada, diz Luiz Marinho "
23,http://congressoemfoco.uol.com.br/noticias/presidente-mais-rejeitado-temer-pede-que-militantes-saiam-as-ruas-para-defender-seu-legado/,Folha.com - Brasil
24,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000912290&t=governador-do-pe-barbosa-vai-ter-de-se-apresentar-e-dizer-o-que-pensa, Clã Sarney tenta retomar poder e diz que desgaste no Maranhão diminuiu 
25,https://www1.folha.uol.com.br/poder/2018/05/psdb-ja-deu-o-que-tinha-que-dar-em-sp-diz-skaf-ao-lancar-pre-candidatura-ao-governo.shtml,Folha.com - Brasil
26,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/05/henrique-meirelles-diz-que-brasil-esta-na-direcao-certa.htm, Ativistas do Ocupe Estelita disputam eleição em Pernambuco 
27,http://temas.folha.uol.com.br/entrevistas-eleicoes-2018/pre-candidatos-2018/ciro-diz-ter-pena-de-gleisi-e-que-pt-faz-burrice.shtml,Folha.com - Brasil
28,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/05/barbosa-vai-ter-de-se-apresentar-e-dizer-o-que-pensa-afirma-paulo-camara.htm, Temer admite apoio a Alckmin ou outro candidato de centro 
29,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/05/a-espera-de-decisao-de-barbosa-psb-prepara-estrutura-para-ex-ministro.htm,Band
30,http://congressoemfoco.uol.com.br/noticias/ciro-diz-ter-pena-de-gleisi-por-rejeitar-alianca-entre-partidos/," ""O PT não vai tirar o Lula, nem oferecer outro candidato"", diz Dilma "
31,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/05/urnas-com-voto-impresso-custarao-r-57-milhoes-nas-eleicoes-deste-ano.htm,BBC Brasil
32,https://www1.folha.uol.com.br/poder/2018/05/temer-conversa-com-alckmin-sobre-pacto-para-uniao-do-centro.shtml," Para Gilmar Mendes, J. Barbosa terá dificuldade de dialogar com políticos "
33,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/04/maia-e-alvaro-dias-articulam-alianca-para-isolar-psdb-mdb.htm,UOL Notícias - Política
34,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/04/tribunal-nega-pedido-de-ciro-gomes-para-visitar-ex-presidente-lula.htm, Alckmin e Temer ensaiam aproximação e irritam DEM 
35,https://www3.uol.com.br/uolmais/2018/05/04/nao-seria-isso-me-faria-desistir-da-reeleicao-diz-temer-apos-hostilidade.htm,Folha.com - Brasil
36,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/04/nao-seria-isso-me-faria-desistir-de-reeleicao-diz-temer-apos-hostilidade.htm," Presidente mais rejeitado, Temer pede que militantes saíam às ruas para defender seu ""legado"" "
37,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/04/alckmin-comeca-campanha-pelo-nordeste-falando-sobre-renda-e-seca.htm,Congresso em Foco
38,https://economia.uol.com.br/noticias/estadao-conteudo/2018/05/04/nao-esperava-um-debate-tao-superficial-diz-presidente-do-insper.htm, Governador do PE: Barbosa vai ter de se apresentar e dizer o que pensa 
39,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/04/ainda-nao-tirou-ou-regularizou-seu-titulo-de-eleitor-prazo-termina-em-95.htm,Band
40,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/04/uol-transmite-ao-vivo-encontro-de-11-presidenciaveis-com-prefeitos-na-terca.htm, UOL transmite ao vivo encontro de 11 presidenciáveis com prefeitos na terça 
41,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/04/uol-folha-e-sbt-fazem-sabatina-com-pre-candidato-a-presidente-alvaro-dias.htm,do UOL
42,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/05/03/stf-mantem-veto-a-telemarketing-eleitoral-realizado-em-qualquer-horario.htm," UOL, Folha e SBT fazem sabatina com pré-candidato a presidente Alvaro Dias "
43,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000912009&t=tse-define-implantacao-gradual-do-voto-impresso-nas-eleicoes-de-2018,do UOL
44,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/03/tse-confirma-permissao-para-legendas-usarem-fundo-partidario-nas-campanhas.htm, STF mantém veto a telemarketing eleitoral realizado em qualquer horário 
45,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/05/03/eleicoes-2018-terao-30-mil-urnas-com-voto-impresso-16-ficara-em-sp.htm,Estadão Conteúdo - Política
46,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/03/maia-defende-unificacao-das-policias-e-critica-intervencao-no-rio.htm, TSE define implantação gradual do voto impresso nas eleições de 2018 
47,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/05/03/cristovam-buarque-vai-formular-plano-de-governo-para-alckmin.htm,Band
48,https://noticias.uol.com.br/ultimas-noticias/deutschewelle/2018/05/03/o-amargo-sabor-de-ser-uma-candidata-laranja.htm, TSE confirma permissão para legendas usarem Fundo Partidário nas campanhas 
49,http://www.band.com.br/noticias/eleicoes/conteudo.asp?ID=100000911824&t=pt-comeca-a-discutir-amanha-em-curitiba-plano-de-governo-de-lula,Estadão Conteúdo - Política
